,Player_ID,Year,Month,Date,Player Name,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,team_key,USG_RATIO,TS,original_player_pos,player_pos_C,player_pos_C-F,player_pos_F,player_pos_F-C,player_pos_F-G,player_pos_G,player_pos_G-F,Fantasy_Point
55,101108,2020,12,2020-12-01,Chris Paul,28.2,21,55,0.39,1.0,16,0.27,11,12,0.76,1.0,2.8,3.8,9.2,0.8,0.2,2.0,2.8,11.6,15,PHX,0.22,0.42,G,False,False,False,False,False,True,False,32.96
56,101108,2021,1,2021-01-01,Chris Paul,34.38,83,176,0.47,1.0,44,0.26,44,45,0.69,0.46,4.38,4.85,8.46,1.31,0.23,2.69,3.0,17.15,11,PHX,0.23,0.49,G,False,False,False,False,False,True,False,39.934999999999995
57,101108,2021,2,2021-02-01,Chris Paul,31.21,96,179,0.53,2.21,67,0.43,21,22,0.55,0.36,4.57,4.93,9.36,1.36,0.36,2.21,2.07,17.43,141,PHX,0.22,0.58,G,False,False,False,False,False,True,False,43.650999999999996
58,101108,2021,3,2021-03-01,Chris Paul,31.5,77,164,0.46,0.79,40,0.23,43,49,0.78,0.14,4.36,4.5,7.93,1.64,0.14,2.21,2.21,14.86,61,PHX,0.21,0.49,G,False,False,False,False,False,True,False,37.18000000000001
59,101108,2021,4,2021-04-01,Chris Paul,30.75,105,200,0.52,1.81,65,0.4,31,33,0.66,0.38,4.06,4.44,8.94,1.56,0.25,2.0,2.0,16.88,53,PHX,0.22,0.56,G,False,False,False,False,False,True,False,41.858
60,101108,2021,5,2021-05-01,Chris Paul,30.25,57,105,0.54,1.62,26,0.56,19,20,0.84,0.12,3.25,3.38,10.12,1.38,0.5,2.12,2.62,18.25,29,PHX,0.25,0.57,G,False,False,False,False,False,True,False,43.686
61,101108,2021,10,2021-10-01,Chris Paul,31.2,21,48,0.43,1.0,12,0.35,17,22,0.57,1.0,2.8,3.8,10.6,2.2,0.2,2.4,2.0,12.8,-38,PHX,0.19,0.43,G,False,False,False,False,False,True,False,40.26
62,101108,2021,11,2021-11-01,Chris Paul,32.69,87,179,0.49,1.12,54,0.34,49,56,0.78,0.06,4.25,4.31,10.0,2.06,0.31,2.25,1.94,15.06,151,PHX,0.2,0.5,G,False,False,False,False,False,True,False,42.336999999999996
63,101108,2021,12,2021-12-01,Chris Paul,32.29,80,165,0.5,0.71,39,0.21,29,36,0.62,0.36,3.71,4.07,9.21,1.79,0.21,2.36,2.36,14.21,47,PHX,0.2,0.5,G,False,False,False,False,False,True,False,38.43900000000001
64,101108,2022,1,2022-01-01,Chris Paul,34.57,86,167,0.51,1.36,45,0.38,29,36,0.67,0.36,5.21,5.57,11.79,1.64,0.57,2.36,2.21,15.71,161,PHX,0.19,0.52,G,False,False,False,False,False,True,False,46.889
65,101108,2022,2,2022-02-01,Chris Paul,33.56,51,108,0.48,0.89,32,0.26,32,35,0.75,0.0,4.0,4.0,12.44,1.78,0.11,2.67,1.44,15.78,98,PHX,0.21,0.49,G,False,False,False,False,False,True,False,44.464999999999996
66,101108,2022,3,2022-03-01,Chris Paul,33.0,21,34,0.62,0.67,8,0.22,7,8,0.58,1.0,2.67,3.67,11.67,1.0,0.67,2.33,1.33,17.0,22,PHX,0.2,0.59,G,False,False,False,False,False,True,False,43.424
67,101108,2022,4,2022-04-01,Chris Paul,31.0,17,35,0.46,0.25,9,0.08,6,9,0.52,0.75,2.5,3.25,12.0,2.5,0.0,2.0,3.0,10.25,19,PHX,0.16,0.44,G,False,False,False,False,False,True,False,38.9
68,101108,2022,10,2022-10-01,Chris Paul,32.67,18,52,0.33,0.83,21,0.15,15,17,0.61,0.67,4.0,4.67,10.83,1.67,0.17,1.83,2.67,9.33,43,PHX,0.15,0.39,G,False,False,False,False,False,True,False,36.614
69,101108,2022,11,2022-11-01,Chris Paul,26.5,10,24,0.52,1.0,12,0.26,15,17,0.67,0.25,4.0,4.25,7.25,1.75,0.25,1.0,1.75,9.75,28,PHX,0.14,0.51,G,False,False,False,False,False,True,False,32.225
70,101108,2022,12,2022-12-01,Chris Paul,32.69,71,161,0.44,2.23,66,0.36,33,46,0.49,0.46,3.77,4.23,8.62,1.31,0.38,2.69,2.54,15.69,-60,PHX,0.22,0.49,G,False,False,False,False,False,True,False,39.650999999999996
71,101108,2023,1,2023-01-01,Chris Paul,32.38,55,105,0.54,2.38,39,0.54,20,20,0.62,0.25,4.25,4.5,7.88,1.12,0.62,1.62,2.12,18.62,-2,PHX,0.21,0.6,G,False,False,False,False,False,True,False,42.63
72,101108,2023,2,2023-02-01,Chris Paul,33.4,44,120,0.33,0.7,32,0.2,24,31,0.78,0.2,3.4,3.6,9.7,2.0,0.6,2.2,1.7,11.9,21,PHX,0.2,0.35,G,False,False,False,False,False,True,False,38.169999999999995
73,101108,2023,3,2023-03-01,Chris Paul,31.2,73,168,0.44,1.4,68,0.3,22,24,0.6,0.67,3.87,4.53,9.67,1.67,0.2,1.53,2.0,12.6,32,PHX,0.18,0.48,G,False,False,False,False,False,True,False,38.785999999999994
74,101108,2023,4,2023-04-01,Chris Paul,34.0,23,38,0.6,4.33,23,0.55,4,5,0.27,0.67,3.0,3.67,4.33,1.0,0.33,2.0,2.0,21.0,21,PHX,0.2,0.71,G,False,False,False,False,False,True,False,39.219
75,101108,2023,10,2023-10-01,Chris Paul,29.75,18,45,0.41,0.25,16,0.05,8,9,0.46,0.25,4.5,4.75,8.25,2.0,0.0,1.5,0.75,11.25,46,GSW,0.19,0.43,G,False,False,False,False,False,True,False,34.825
76,101108,2023,11,2023-11-01,Chris Paul,26.0,39,98,0.38,1.43,48,0.35,18,19,0.46,0.29,3.0,3.29,7.0,1.36,0.07,1.0,1.86,8.29,5,GSW,0.14,0.45,G,False,False,False,False,False,True,False,27.958
77,101108,2023,12,2023-12-01,Chris Paul,28.73,37,85,0.4,1.45,45,0.26,6,8,0.24,0.36,3.64,4.0,7.73,0.82,0.09,1.45,2.27,8.73,36,GSW,0.14,0.43,G,False,False,False,False,False,True,False,28.58
78,101108,2024,1,2024-01-01,Chris Paul,28.0,10,17,0.59,2.0,10,0.61,3,6,0.25,0.33,3.67,4.0,4.67,0.0,0.33,0.67,1.67,9.67,-2,GSW,0.12,0.6,G,False,False,False,False,False,True,False,24.129999999999995
